id,produit,nom,premier_mot,genre,nombre,dernière lettre
1130,370,"Balle de sport (gymnastique, yoga, pilates, musculation, capoeira, cheerleading, cirque)",Balle,féminin,singulier,e
1131,371,Balle de tennis,Balle,féminin,singulier,e
1441,96,Ballerines,Ballerines,féminin,pluriel,s
564,194,Ballon de baudruche,Ballon,masculin,singulier,n
583,194,Ballon sauteur,Ballon,masculin,singulier,n
1536,369,ballon,ballon,masculin,singulier,n
823,167,Banane abîmée,Banane,féminin,singulier,e
1681,225,Banc,Banc,masculin,singulier,c
1862,225,Banc-coffre,Banc-coffre,masculin,singulier,e
252,244,Bande de ponçage,Bande,féminin,pluriel,e
1143,423,Bande d'accrochage de rideau,Bande,féminin,singulier,e
1144,423,Bande d'ancrage de rideau,Bande,féminin,singulier,e
1739,225,Bande de chant,Bande,féminin,singulier,e
1658,208,Bande-dessinée (album),Bande-dessinée,féminin,singulier,e
1784,225,Bandeau de four,Bandeau,masculin,singulier,u
7,32,Barbecue,Barbecue,masculin,singulier,e
8,33,Barbecue jetable,Barbecue,masculin,singulier,e
129,145,Barbecue électrique,Barbecue,masculin,singulier,e
253,244,"Barbecue (feu de bois, à gaz, fumoir)",Barbecue,masculin,singulier,e
757,32,Barbecue à gaz,Barbecue,masculin,singulier,e
758,32,Barbecue à combustible,Barbecue,masculin,singulier,e
808,170,Baril de pétrole,Baril,masculin,singulier,l
1040,34,Baril de lessive (en carton),Baril,masculin,singulier,l
1216,35,Baril de lessive (en plastique),Baril,masculin,singulier,l
1043,36,Barquette en aluminium,Barquette,féminin,singulier,e
1139,52,Barquette en carton,Barquette,féminin,singulier,e
1221,37,Barquette,Barquette,féminin,singulier,e
1222,37,Barquette en plastique (dont polystyrène),Barquette,féminin,singulier,e
1255,432,Barquette réemployable,Barquette,féminin,singulier,e
1256,432,Barquette consignée,Barquette,féminin,singulier,e
254,244,Barre à creuser,Barre,féminin,singulier,e
255,244,Barre à mine,Barre,féminin,singulier,e
793,2,Barre de remorquage,Barre,féminin,singulier,e
1909,225,Barrière de lit,Barrière,féminin,singulier,e
1433,96,Baskets,Baskets,féminin,pluriel,s
256,244,Bassin,Bassin,masculin,singulier,n
755,38,Bassine,Bassine,féminin,singulier,e
756,38,Bassine en plastique,Bassine,féminin,singulier,e
561,194,Bateau non motorisé,Bateau,masculin,singulier,u
1284,421,Bateau à moteur,Bateau,masculin,singulier,u
1288,421,Bateau de pêche promenade,Bateau,masculin,singulier,u
1290,421,Bateau pneumatique,Bateau,masculin,singulier,u
1291,421,Bateau semi-rigide,Bateau,masculin,singulier,u
1293,421,Bateau de plaisance et de sport,Bateau,masculin,singulier,u
1537,369,Bâton de ski,Bâton,masculin,singulier,n
1079,370,Batte de baseball,Batte,féminin,singulier,e
1019,40,Batterie automobile,Batterie,féminin,singulier,e
1663,39,Batterie (hors batterie de voiture),Batterie,féminin,singulier,e
31,265,Batteur,Batteur,masculin,singulier,r
1638,358,Bécane (biclou),Bécane,féminin,singulier,e
